1687851049452|155|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai&zeroDateTimeBehavior=convertToNull&allowPublicKeyRetrieval=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1687852140153|253|statement|connection 7|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (status = ?)|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (status = 1)
1687852141074|256|statement|connection 8|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (status = ?)|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (status = 1)
1687852141278|195|statement|connection 9|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (status = ?)|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (status = 1)
1687852141483|197|statement|connection 10|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (status = ?)|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (status = 1)
1687852141688|198|statement|connection 11|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (status = ?)|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (status = 1)
1687852164428|248|statement|connection 12|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,name,fleet_number,agency_id,manager,status  FROM dy_fleet     WHERE (status = ?) ORDER BY id ASC|SELECT  id,name,fleet_number,agency_id,manager,status  FROM dy_fleet     WHERE (status = 1) ORDER BY id ASC
1687852225966|201|statement|connection 13|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (id IN (?))|SELECT  id,name,default_weight,default_volume,remark,status  FROM dy_goods_type     WHERE (id IN ('569553063936'))
1687852238766|201|statement|connection 14|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( ?, ?, ?, ?, ?, ? )|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( '1965262245888', '桌子', 222, 1212, '大桌子', 0 )
1687852238868|102|rollback|connection 14|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true||
1687852240200|202|statement|connection 15|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( ?, ?, ?, ?, ?, ? )|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( '1971272683520', '桌子', 222, 1212, '大桌子', 0 )
1687852240301|100|rollback|connection 15|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true||
1687852241020|203|statement|connection 16|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( ?, ?, ?, ?, ?, ? )|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( '1974707818496', '桌子', 222, 1212, '大桌子', 0 )
1687852241122|101|rollback|connection 16|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true||
1687852252079|203|statement|connection 17|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( ?, ?, ?, ?, ?, ? )|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( '2021096820736', '桌子', 222, 1212, '大桌子', 0 )
1687852252180|100|rollback|connection 17|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true||
1687852275427|201|statement|connection 18|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( ?, ?, ?, ?, ?, ? )|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( '2119025430528', '桌子', 222, 1212, '大桌子', 0 )
1687852275529|101|rollback|connection 18|url jdbc:mysql://121.5.25.174:3307/dy_auth?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true||
1687853033746|159|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai&zeroDateTimeBehavior=convertToNull&allowPublicKeyRetrieval=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1687853274888|145|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai&zeroDateTimeBehavior=convertToNull&allowPublicKeyRetrieval=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1687853394187|233|statement|connection 2|url jdbc:mysql://121.5.25.174:3307/dy_base?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai&zeroDateTimeBehavior=convertToNull&allowPublicKeyRetrieval=true|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( ?, ?, ?, ?, ?, ? )|INSERT INTO dy_goods_type  ( id, name, default_weight, default_volume, remark, status )  VALUES  ( '581292920832', '桌子', 10, 10, '大椅子', 1 )
1687853394311|114|commit|connection 2|url jdbc:mysql://121.5.25.174:3307/dy_base?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai&zeroDateTimeBehavior=convertToNull&allowPublicKeyRetrieval=true||
1687920512503|100|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai&zeroDateTimeBehavior=convertToNull&allowPublicKeyRetrieval=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688003196340|80|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai&zeroDateTimeBehavior=convertToNull&allowPublicKeyRetrieval=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688003397157|82|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai&zeroDateTimeBehavior=convertToNull&allowPublicKeyRetrieval=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688003647542|99|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=Asia/Shanghai&zeroDateTimeBehavior=convertToNull&allowPublicKeyRetrieval=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688004066296|77|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688011627912|105|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688025411139|66|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688025523168|156|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688038770681|52|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688043287720|65|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688043508079|50|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688043699617|56|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688089923144|68|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688096232017|69|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688104862200|143|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688128287047|46|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688129391109|63|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688178789812|66|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688286095336|146|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688289615036|67|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688214836607|46|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688215148413|43|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688215215000|89|statement|connection 2|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT COUNT(1) FROM dy_order WHERE (id LIKE ? AND status = ? AND payment_status = ? AND sender_name LIKE ? AND sender_phone LIKE ? AND sender_province_id = ? AND sender_city_id = ? AND sender_county_id = ? AND receiver_name LIKE ? AND receiver_phone LIKE ? AND receiver_province_id = ? AND receiver_city_id = ? AND receiver_county_id = ?)|SELECT COUNT(1) FROM dy_order WHERE (id LIKE '%%' AND status = 0 AND payment_status = 0 AND sender_name LIKE '%%' AND sender_phone LIKE '%%' AND sender_province_id = '' AND sender_city_id = '' AND sender_county_id = '' AND receiver_name LIKE '%%' AND receiver_phone LIKE '%%' AND receiver_province_id = '' AND receiver_city_id = '' AND receiver_county_id = '')
1688290421179|75|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688300447322|48|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688350583304|68|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_base?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688367525260|123|statement|connection 1|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|/* ping */ SELECT 1|/* ping */ SELECT 1
1688367686063|95|statement|connection 2|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT COUNT(1) FROM dy_order WHERE (id LIKE ? AND status = ? AND payment_status = ? AND sender_name LIKE ? AND sender_phone LIKE ? AND sender_province_id = ? AND sender_city_id = ? AND sender_county_id = ? AND receiver_name LIKE ? AND receiver_phone LIKE ? AND receiver_province_id = ? AND receiver_city_id = ? AND receiver_county_id = ?)|SELECT COUNT(1) FROM dy_order WHERE (id LIKE '%%' AND status = 0 AND payment_status = 0 AND sender_name LIKE '%%' AND sender_phone LIKE '%%' AND sender_province_id = '' AND sender_city_id = '' AND sender_county_id = '' AND receiver_name LIKE '%%' AND receiver_phone LIKE '%%' AND receiver_province_id = '' AND receiver_city_id = '' AND receiver_county_id = '')
1688367948905|164|statement|connection 3|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|INSERT INTO dy_order  ( id, order_type, pickup_type, create_time, member_id, receiver_province_id, receiver_city_id, receiver_county_id, receiver_address, receiver_address_id, receiver_name, receiver_phone, sender_province_id, sender_city_id, sender_county_id, sender_address, sender_address_id, sender_name, sender_phone, current_agency_id, payment_method, payment_status, amount, distance, status )  VALUES  ( ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? )|INSERT INTO dy_order  ( id, order_type, pickup_type, create_time, member_id, receiver_province_id, receiver_city_id, receiver_county_id, receiver_address, receiver_address_id, receiver_name, receiver_phone, sender_province_id, sender_city_id, sender_county_id, sender_address, sender_address_id, sender_name, sender_phone, current_agency_id, payment_method, payment_status, amount, distance, status )  VALUES  ( '1860161376256', 1, 0, '2023-07-03T15:05:48.724', '12', '', '', '', '', '', '', '', '', '', '', 'sender error msg', '', '', '', ' ', 0, 1, 0, 133, 23000 )
1688367949010|103|commit|connection 3|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true||
1688367961736|87|statement|connection 4|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT COUNT(1) FROM dy_order WHERE (id LIKE ? AND status = ? AND payment_status = ? AND sender_name LIKE ? AND sender_phone LIKE ? AND sender_province_id = ? AND sender_city_id = ? AND sender_county_id = ? AND receiver_name LIKE ? AND receiver_phone LIKE ? AND receiver_province_id = ? AND receiver_city_id = ? AND receiver_county_id = ?)|SELECT COUNT(1) FROM dy_order WHERE (id LIKE '%%' AND status = 0 AND payment_status = 0 AND sender_name LIKE '%%' AND sender_phone LIKE '%%' AND sender_province_id = '' AND sender_city_id = '' AND sender_county_id = '' AND receiver_name LIKE '%%' AND receiver_phone LIKE '%%' AND receiver_province_id = '' AND receiver_city_id = '' AND receiver_county_id = '')
1688367970721|116|statement|connection 5|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT COUNT(1) FROM dy_order WHERE (id LIKE ? AND status = ? AND payment_status = ? AND sender_name LIKE ? AND sender_phone LIKE ? AND sender_province_id = ? AND sender_city_id = ? AND sender_county_id = ? AND receiver_name LIKE ? AND receiver_phone LIKE ? AND receiver_province_id = ? AND receiver_city_id = ? AND receiver_county_id = ?)|SELECT COUNT(1) FROM dy_order WHERE (id LIKE '%%' AND status = 0 AND payment_status = 0 AND sender_name LIKE '%%' AND sender_phone LIKE '%%' AND sender_province_id = '' AND sender_city_id = '' AND sender_county_id = '' AND receiver_name LIKE '%%' AND receiver_phone LIKE '%%' AND receiver_province_id = '' AND receiver_city_id = '' AND receiver_county_id = '')
1688367984947|164|statement|connection 6|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT COUNT(1) FROM dy_order WHERE (id LIKE ? AND status = ? AND payment_status = ? AND sender_name LIKE ? AND sender_phone LIKE ? AND sender_province_id = ? AND sender_city_id = ? AND sender_county_id = ? AND receiver_name LIKE ? AND receiver_phone LIKE ? AND receiver_province_id = ? AND receiver_city_id = ? AND receiver_county_id = ?)|SELECT COUNT(1) FROM dy_order WHERE (id LIKE '%%' AND status = 0 AND payment_status = 0 AND sender_name LIKE '%%' AND sender_phone LIKE '%%' AND sender_province_id = '' AND sender_city_id = '' AND sender_county_id = '' AND receiver_name LIKE '%%' AND receiver_phone LIKE '%%' AND receiver_province_id = '' AND receiver_city_id = '' AND receiver_county_id = '')
1688368022879|97|statement|connection 7|url jdbc:mysql://121.5.25.174:3307/dy_oms?serverTimezone=UTC&characterEncoding=utf8&useUnicode=true&useSSL=false&autoReconnect=true&zeroDateTimeBehavior=convertToNull&allowMultiQueries=true|SELECT COUNT(1) FROM dy_order WHERE (id LIKE ? AND status = ? AND payment_status = ? AND sender_name LIKE ? AND sender_phone LIKE ? AND sender_province_id = ? AND sender_city_id = ? AND sender_county_id = ? AND receiver_name LIKE ? AND receiver_phone LIKE ? AND receiver_province_id = ? AND receiver_city_id = ? AND receiver_county_id = ?)|SELECT COUNT(1) FROM dy_order WHERE (id LIKE '%%' AND status = 0 AND payment_status = 0 AND sender_name LIKE '%%' AND sender_phone LIKE '%%' AND sender_province_id = '' AND sender_city_id = '' AND sender_county_id = '' AND receiver_name LIKE '%%' AND receiver_phone LIKE '%%' AND receiver_province_id = '' AND receiver_city_id = '' AND receiver_county_id = '')
